,feature,accuracy,std_accuracy,precision_w,std_precision_w,recall_w,std_recall_w,f1_w,std_f1_w,matthews,std_matthews
123,"['list_m', 'entropias', 'distancias', 'sumas']",0.77,0.03922576747824527,0.78,0.037884281748728564,0.77,0.03922576747824527,0.76,0.03831866813504491,0.58,0.06633042685721777
124,"['mutinf', 'entropias', 'distancias', 'sumas']",0.76,0.0379627941785961,0.77,0.037049805459803076,0.76,0.0379627941785961,0.76,0.03682402328625198,0.58,0.06566332818481141
125,"['max_info', 'entropias', 'distancias', 'sumas']",0.76,0.039430565046437736,0.77,0.0397497033751271,0.76,0.039430565046437736,0.76,0.03841439622616602,0.57,0.06357822101073175
126,"['diferencias', 'entropias', 'distancias', 'sumas']",0.77,0.039796885182181926,0.78,0.03958819909594505,0.77,0.039796885182181926,0.76,0.038952367667835254,0.58,0.06536490313990197
127,"['list_m', 'mutinf', 'max_info', 'mearts']",0.76,0.03445234678815553,0.77,0.03500904371931396,0.76,0.03445234678815553,0.76,0.03341672447321754,0.57,0.056737948029071394
128,"['list_m', 'mutinf', 'diferencias', 'mearts']",0.76,0.035398724255032654,0.77,0.03540171860591509,0.76,0.035398724255032654,0.76,0.03446966236961095,0.57,0.059605240597375014
129,"['list_m', 'max_info', 'diferencias', 'mearts']",0.76,0.03828572199285354,0.77,0.03853159227407166,0.76,0.03828572199285354,0.76,0.03757639648314276,0.57,0.06338709298968813
130,"['mutinf', 'max_info', 'diferencias', 'mearts']",0.76,0.03468476707404836,0.77,0.035737393016872634,0.76,0.03468476707404836,0.76,0.033637998651319834,0.57,0.05654035259534027
131,"['list_m', 'mutinf', 'entropias', 'mearts']",0.76,0.03529155711839318,0.77,0.03474630631395018,0.76,0.03529155711839318,0.76,0.0343058611945145,0.57,0.060244572452005596
132,"['list_m', 'max_info', 'entropias', 'mearts']",0.76,0.03779109945611823,0.77,0.03824251377465415,0.76,0.03779109945611823,0.76,0.036941738142683096,0.57,0.06216615340459957
133,"['mutinf', 'max_info', 'entropias', 'mearts']",0.76,0.03529571219023128,0.77,0.035856027983308086,0.76,0.03529571219023128,0.76,0.03399801098638257,0.57,0.05713676098712108
134,"['list_m', 'diferencias', 'entropias', 'mearts']",0.76,0.03946803228326869,0.77,0.03972540699149588,0.76,0.03946803228326869,0.76,0.038742908233311744,0.58,0.06622510474241132
135,"['mutinf', 'diferencias', 'entropias', 'mearts']",0.76,0.03489759906528329,0.77,0.03492752387821457,0.76,0.03489759906528329,0.76,0.033911061960858614,0.57,0.05847484003505856
136,"['max_info', 'diferencias', 'entropias', 'mearts']",0.76,0.03893822047027342,0.77,0.039458031687033525,0.76,0.03893822047027342,0.76,0.03816851918472138,0.57,0.06309597567770683
137,"['list_m', 'mutinf', 'distancias', 'mearts']",0.76,0.034594694876180866,0.77,0.03386698521853876,0.76,0.034594694876180866,0.76,0.03356422116496645,0.57,0.06096994036849422
138,"['list_m', 'max_info', 'distancias', 'mearts']",0.77,0.037176523353092,0.78,0.0369016221580581,0.77,0.037176523353092,0.76,0.0363545998425837,0.58,0.0639232397063667
139,"['mutinf', 'max_info', 'distancias', 'mearts']",0.76,0.03436368690825721,0.77,0.03478517472167478,0.76,0.03436368690825721,0.76,0.03327980827543736,0.57,0.05639425370391282
140,"['list_m', 'diferencias', 'distancias', 'mearts']",0.77,0.03774617593805774,0.78,0.03731172235958291,0.77,0.03774617593805774,0.76,0.037195838303851016,0.58,0.06493276093636974
