,feature,accuracy,std_accuracy,precision_w,std_precision_w,recall_w,std_recall_w,f1_w,std_f1_w,matthews,std_matthews
0,['list_m'],0.67,0.11910309347367935,0.68,0.12062122825644929,0.74,0.1420892697294959,0.69,0.10157901066267996,0.33,0.24657625342533246
1,['mutinf'],0.68,0.12408886684549908,0.69,0.12554445680862267,0.75,0.14430387136978773,0.71,0.10462404138299927,0.35,0.25825421321983494
2,['max_info'],0.68,0.12357152534058971,0.68,0.12506815150782782,0.76,0.14206986201026425,0.71,0.10396210291831288,0.34,0.2587080946839275
3,['diferencias'],0.68,0.12507966211578925,0.68,0.12723936397241223,0.75,0.14294004712496003,0.7,0.1065263600801411,0.34,0.2602469247289977
4,['entropias'],0.68,0.1217772043528673,0.68,0.12297712139869114,0.75,0.14014582585088,0.71,0.09998535225180685,0.34,0.25460686555236767
5,['distancias'],0.68,0.12177078877957555,0.68,0.12402502691465196,0.74,0.14101812444556383,0.7,0.10249362121337603,0.33,0.2533786442086547
6,['sumas'],0.68,0.12886978650948405,0.68,0.12727108522818562,0.75,0.1431865357244214,0.7,0.1077339200522664,0.34,0.27030677786000495
7,"['list_m', 'mutinf', 'max_info', 'diferencias', 'entropias', 'distancias', 'sumas']",0.66,0.10476163419878483,0.67,0.11045759023757405,0.7,0.1197161111542361,0.68,0.09215670310898444,0.3,0.21955915034491819
