,feature,accuracy,std_accuracy,precision_w,std_precision_w,recall_w,std_recall_w,f1_w,std_f1_w,matthews,std_matthews
0,['list_m'],0.65,0.10528792369023145,0.59,0.15538218840495638,0.65,0.10528792369023145,0.6,0.14188084066803225,0.31,0.21929108513233175
1,['mutinf'],0.65,0.10913545196222901,0.59,0.1583861537646843,0.65,0.10913545196222901,0.61,0.1456031678222784,0.31,0.2267009026114034
2,['max_info'],0.65,0.11516801585075606,0.59,0.16955514855231235,0.65,0.11516801585075606,0.61,0.15234862451263537,0.31,0.24266714860247876
3,['diferencias'],0.66,0.11085428216807865,0.59,0.15957485837608912,0.66,0.11085428216807865,0.61,0.14716928574599425,0.32,0.2307409003839317
4,['entropias'],0.65,0.1106867765363144,0.59,0.1586315442288473,0.65,0.1106867765363144,0.61,0.14565651937835397,0.32,0.22719523670834615
5,['distancias'],0.65,0.11114461300485957,0.59,0.16408966988223234,0.65,0.11114461300485957,0.6,0.14817941184282235,0.31,0.234691779756111
6,['sumas'],0.66,0.1106285310170934,0.59,0.1600029297865688,0.66,0.1106285310170934,0.61,0.1473703000970149,0.32,0.23009281519518562
7,"['list_m', 'mutinf', 'max_info', 'diferencias', 'entropias', 'distancias', 'sumas']",0.64,0.10937321427113679,0.58,0.15177727842842567,0.64,0.10937321427113679,0.6,0.1375963780346804,0.29,0.20688844411222895
