,feature,accuracy,std_accuracy,precision_w,std_precision_w,recall_w,std_recall_w,f1_w,std_f1_w,matthews,std_matthews
92,"['mutinf', 'diferencias', 'distancias', 'sumas']",0.76,0.1450902197772131,0.78,0.14772573395586883,0.76,0.1450902197772131,0.74,0.1776774398198,0.53,0.30076862652660036
93,"['max_info', 'diferencias', 'distancias', 'sumas']",0.76,0.137664674117945,0.79,0.12326278618137923,0.76,0.137664674117945,0.74,0.16745139775062676,0.54,0.2774313225973151
94,"['list_m', 'entropias', 'distancias', 'sumas']",0.75,0.12482957131625504,0.78,0.11737686254433852,0.75,0.12482957131625504,0.73,0.1514504507204839,0.51,0.25941314113511255
95,"['mutinf', 'entropias', 'distancias', 'sumas']",0.77,0.14529603401332056,0.8,0.12341083289839261,0.77,0.14529603401332056,0.74,0.17578826451102897,0.55,0.2859833846521341
96,"['max_info', 'entropias', 'distancias', 'sumas']",0.76,0.14314956121134287,0.8,0.12398806047266625,0.76,0.14314956121134287,0.74,0.17369859122487974,0.54,0.28417336193934895
97,"['diferencias', 'entropias', 'distancias', 'sumas']",0.76,0.14395501684554102,0.79,0.13047340226543194,0.76,0.14395501684554102,0.74,0.17389831329640693,0.54,0.2890946302758725
98,"['list_m', 'mutinf', 'max_info', 'diferencias', 'entropias']",0.76,0.14429786900713398,0.8,0.12583673860058112,0.76,0.14429786900713398,0.74,0.1742731857727547,0.55,0.2871139383925512
99,"['list_m', 'mutinf', 'max_info', 'diferencias', 'distancias']",0.75,0.1285420043215446,0.78,0.127601330728552,0.75,0.1285420043215446,0.73,0.15707852509336176,0.51,0.26861442365602245
100,"['list_m', 'mutinf', 'max_info', 'entropias', 'distancias']",0.75,0.13608791965123135,0.78,0.12400876567060877,0.75,0.13608791965123135,0.73,0.16178441245001235,0.52,0.2782041342621364
101,"['list_m', 'mutinf', 'diferencias', 'entropias', 'distancias']",0.75,0.13345616087314963,0.78,0.12493603704977382,0.75,0.13345616087314963,0.73,0.1589654318084473,0.52,0.2761451669117033
102,"['list_m', 'max_info', 'diferencias', 'entropias', 'distancias']",0.75,0.1275536039279173,0.78,0.12063113594131344,0.75,0.1275536039279173,0.72,0.15302365888469402,0.51,0.26500857866309346
103,"['mutinf', 'max_info', 'diferencias', 'entropias', 'distancias']",0.76,0.14682046860026024,0.8,0.1277897157640423,0.76,0.14682046860026024,0.74,0.17690585927049557,0.55,0.2913098394225696
104,"['list_m', 'mutinf', 'max_info', 'diferencias', 'sumas']",0.76,0.14058471645239393,0.79,0.12817883618513173,0.76,0.14058471645239393,0.74,0.17240588792645162,0.54,0.28579997160855647
105,"['list_m', 'mutinf', 'max_info', 'entropias', 'sumas']",0.76,0.14699596082886085,0.8,0.12301440256666897,0.76,0.14699596082886085,0.74,0.17759575642797948,0.55,0.2864442389964809
106,"['list_m', 'mutinf', 'diferencias', 'entropias', 'sumas']",0.76,0.14553779577827883,0.8,0.12345082010678038,0.76,0.14553779577827883,0.74,0.17599892337904005,0.55,0.2859178614474086
107,"['list_m', 'max_info', 'diferencias', 'entropias', 'sumas']",0.76,0.14254796341933476,0.79,0.12419612041606884,0.76,0.14254796341933476,0.74,0.17293176871300572,0.54,0.2837160548954539
108,"['mutinf', 'max_info', 'diferencias', 'entropias', 'sumas']",0.77,0.14839769203057035,0.8,0.1232803808379583,0.77,0.14839769203057035,0.74,0.17999078106346109,0.55,0.2904117063997309
109,"['list_m', 'mutinf', 'max_info', 'distancias', 'sumas']",0.75,0.13047988350699888,0.78,0.12387495983988986,0.75,0.13047988350699888,0.73,0.15683542124369743,0.52,0.26995128065883384
110,"['list_m', 'mutinf', 'diferencias', 'distancias', 'sumas']",0.75,0.1302581571342079,0.78,0.12540104776872282,0.75,0.1302581571342079,0.73,0.15831545105462833,0.51,0.27087823033079533
111,"['list_m', 'max_info', 'diferencias', 'distancias', 'sumas']",0.75,0.1323997262081761,0.78,0.12475331050051967,0.75,0.1323997262081761,0.73,0.15877266311495944,0.52,0.27205695672399416
112,"['mutinf', 'max_info', 'diferencias', 'distancias', 'sumas']",0.77,0.13829881597468577,0.8,0.12400949271842562,0.77,0.13829881597468577,0.74,0.16889822545722488,0.55,0.2802149917560779
113,"['list_m', 'mutinf', 'entropias', 'distancias', 'sumas']",0.75,0.13353809147580326,0.78,0.12444051368091281,0.75,0.13353809147580326,0.73,0.15923788067436626,0.52,0.275804537273124
114,"['list_m', 'max_info', 'entropias', 'distancias', 'sumas']",0.75,0.12580366648075086,0.78,0.11828759017554964,0.75,0.12580366648075086,0.73,0.1521001180065141,0.51,0.2614513816390055
115,"['mutinf', 'max_info', 'entropias', 'distancias', 'sumas']",0.77,0.15054069217324598,0.8,0.1262877512638884,0.77,0.15054069217324598,0.74,0.18107945495706443,0.55,0.2933362450440019
116,"['list_m', 'diferencias', 'entropias', 'distancias', 'sumas']",0.75,0.12551612197243828,0.78,0.1194761789362638,0.75,0.12551612197243828,0.72,0.15135218119945248,0.51,0.26200059311544177
117,"['mutinf', 'diferencias', 'entropias', 'distancias', 'sumas']",0.77,0.1451440555965004,0.8,0.12298580376828376,0.77,0.1451440555965004,0.74,0.1757206681553609,0.55,0.28548073507334865
118,"['max_info', 'diferencias', 'entropias', 'distancias', 'sumas']",0.76,0.1428996588519371,0.79,0.12433778331346611,0.76,0.1428996588519371,0.74,0.17319194399909144,0.54,0.28409877325170974
119,"['list_m', 'mutinf', 'max_info', 'diferencias', 'entropias', 'distancias']",0.75,0.13523561614826177,0.78,0.12579816616489609,0.75,0.13523561614826177,0.73,0.1606651390185759,0.51,0.277939968010105
120,"['list_m', 'mutinf', 'max_info', 'diferencias', 'entropias', 'sumas']",0.77,0.14747219017496146,0.8,0.12391075087438722,0.77,0.14747219017496146,0.74,0.17814041066058414,0.55,0.288029209242027
121,"['list_m', 'mutinf', 'max_info', 'diferencias', 'distancias', 'sumas']",0.75,0.1285420043215446,0.78,0.12298362918462637,0.75,0.1285420043215446,0.73,0.15474431847760756,0.51,0.2670409501861729
122,"['list_m', 'mutinf', 'max_info', 'entropias', 'distancias', 'sumas']",0.75,0.14226268616541726,0.78,0.13613625581407318,0.75,0.14226268616541726,0.73,0.16898054448666902,0.51,0.2928440405589606
123,"['list_m', 'mutinf', 'diferencias', 'entropias', 'distancias', 'sumas']",0.75,0.13441278538517085,0.78,0.1254628989735578,0.75,0.13441278538517085,0.73,0.1597989890183809,0.52,0.27723751280655134
124,"['list_m', 'max_info', 'diferencias', 'entropias', 'distancias', 'sumas']",0.75,0.12532925386756277,0.78,0.11724312785982821,0.75,0.12532925386756277,0.73,0.15045500474197412,0.51,0.25985653014433724
125,"['mutinf', 'max_info', 'diferencias', 'entropias', 'distancias', 'sumas']",0.77,0.1489481348490138,0.8,0.12481841725097555,0.77,0.1489481348490138,0.74,0.17949381387483923,0.55,0.2902593138599299
126,"['list_m', 'mutinf', 'max_info', 'diferencias', 'entropias', 'distancias', 'sumas']",0.75,0.13740195367970573,0.77,0.13679276092046133,0.75,0.13740195367970573,0.73,0.16412570160292195,0.51,0.28732526617524723
