,feature,accuracy,std_accuracy,precision_w,std_precision_w,recall_w,std_recall_w,f1_w,std_f1_w,matthews,std_matthews
0,['list_m'],0.8,0.027849298068779074,0.65,0.06300288746809729,0.61,0.07206331987199759,0.63,0.05409576804344853,0.49,0.05897610524240179
1,['mutinf'],0.8,0.02851935296337103,0.66,0.07228099962070474,0.6,0.07282877536898652,0.62,0.05818673249669658,0.49,0.06434489365390217
2,['max_info'],0.79,0.02698656017590931,0.64,0.0615218804493398,0.62,0.07160926433810919,0.63,0.053289809588235565,0.49,0.05734890127003402
3,['diferencias'],0.8,0.02786404902001921,0.65,0.06344101033198674,0.61,0.07257935714862958,0.63,0.0546854633785215,0.49,0.05964052538766264
4,['entropias'],0.8,0.027536635600008474,0.65,0.063448018961901,0.61,0.07147165913872333,0.63,0.05396142374590876,0.49,0.05873989367293083
5,['distancias'],0.8,0.027849298068779074,0.65,0.06300288746809729,0.61,0.07206331987199759,0.63,0.05409576804344853,0.49,0.05897610524240179
6,['sumas'],0.8,0.0268189245939879,0.65,0.06338274491102422,0.61,0.0691804589470513,0.63,0.05231822038373226,0.49,0.055948469994501614
7,['mearts'],0.8,0.027380310235133105,0.65,0.06231865610841107,0.61,0.07184125602049976,0.63,0.05363513778676887,0.49,0.058091152678960624
8,"['list_m', 'mutinf', 'max_info', 'diferencias', 'entropias', 'distancias', 'sumas', 'mearts']",0.8,0.02635763491870934,0.7,0.07516425925855652,0.54,0.06713742385060974,0.61,0.0586828103572725,0.49,0.06062418969836893
