,feature,accuracy,std_accuracy,precision_w,std_precision_w,recall_w,std_recall_w,f1_w,std_f1_w,matthews,std_matthews
0,['list_m'],0.76,0.03903915684640129,0.77,0.03871134961703225,0.76,0.03903915684640129,0.76,0.038364535828767386,0.58,0.06514003503680418
1,['mutinf'],0.76,0.03833505421515168,0.77,0.03798632525523274,0.76,0.03833505421515168,0.76,0.037525719944649746,0.57,0.0647497437339703
2,['max_info'],0.76,0.03854005860471861,0.77,0.03865722069743081,0.76,0.03854005860471861,0.76,0.03791782574452429,0.57,0.06255798218453007
3,['diferencias'],0.76,0.04008813062778697,0.77,0.04048543779053127,0.76,0.04008813062778697,0.76,0.03943572286121217,0.57,0.0658364580248513
4,['entropias'],0.76,0.03923774502316189,0.77,0.03914337085847061,0.76,0.03923774502316189,0.76,0.03853243740368653,0.58,0.06479766557848632
5,['distancias'],0.76,0.03897387676476192,0.77,0.038691415613088684,0.76,0.03897387676476192,0.76,0.03831690968096425,0.58,0.06488887752331593
6,['sumas'],0.76,0.040220962398297845,0.77,0.040014240349261244,0.76,0.040220962398297845,0.76,0.03946541300021925,0.57,0.06564854008132681
7,['mearts'],0.76,0.03957851876124852,0.77,0.039532667586399305,0.76,0.03957851876124852,0.76,0.038889746640821225,0.58,0.06577765944399408
8,"['list_m', 'mutinf', 'max_info', 'diferencias', 'entropias', 'distancias', 'sumas', 'mearts']",0.74,0.028757949447310548,0.75,0.03184592930220035,0.74,0.028757949447310548,0.73,0.028691721007561292,0.53,0.03305550926010439
