,feature,accuracy,std_accuracy,precision_w,std_precision_w,recall_w,std_recall_w,f1_w,std_f1_w,matthews,std_matthews
0,['list_m'],0.68,0.12035104901910909,0.68,0.12498501980933296,0.68,0.12035104901910909,0.66,0.1395994763864288,0.33,0.2509984655561467
1,['mutinf'],0.68,0.12307898886487491,0.68,0.1289625410910289,0.68,0.12307898886487491,0.66,0.144964031339974,0.34,0.2586755396133701
2,['max_info'],0.68,0.12539157417865046,0.68,0.1312803130612489,0.68,0.12539157417865046,0.66,0.14818044403813882,0.35,0.2634083076749984
3,['diferencias'],0.68,0.12289477206130454,0.68,0.1281906949459925,0.68,0.12289477206130454,0.66,0.1454206585423121,0.34,0.2570178431190314
4,['entropias'],0.68,0.12109364919350646,0.68,0.12660961773824755,0.68,0.12109364919350646,0.66,0.14309675736800076,0.34,0.2540712173180928
5,['distancias'],0.67,0.12413922375703822,0.67,0.13223307323321423,0.67,0.12413922375703822,0.65,0.14460314332224217,0.33,0.2610563782922667
6,['sumas'],0.68,0.12507966211578925,0.68,0.13235465426634388,0.68,0.12507966211578925,0.66,0.147308681977197,0.34,0.2639457912285598
7,"['list_m', 'mutinf']",0.68,0.11997883928009974,0.68,0.12479907958368013,0.68,0.11997883928009974,0.66,0.13953070279265628,0.34,0.2507371617906053
8,"['list_m', 'max_info']",0.68,0.12021302706029828,0.68,0.12373101189700483,0.68,0.12021302706029828,0.66,0.14026505544587475,0.34,0.25166473514871907
9,"['mutinf', 'max_info']",0.68,0.12376893794486564,0.68,0.1295078626681734,0.68,0.12376893794486564,0.66,0.1466198519760362,0.35,0.2599459775311798
10,"['list_m', 'diferencias']",0.67,0.11841894643594832,0.67,0.12378451685826786,0.67,0.11841894643594832,0.66,0.13713509354182032,0.33,0.24597162119307842
11,"['mutinf', 'diferencias']",0.68,0.12159583411860786,0.68,0.12695218350208065,0.68,0.12159583411860786,0.66,0.1446406224496225,0.34,0.2545287502885863
12,"['max_info', 'diferencias']",0.68,0.12442838050460996,0.68,0.13028526948606342,0.68,0.12442838050460996,0.66,0.14727440177827683,0.34,0.26178439384276203
13,"['list_m', 'entropias']",0.68,0.11844533285444388,0.68,0.12151958738131916,0.68,0.11844533285444388,0.66,0.13770984542514178,0.34,0.24779263311858002
14,"['mutinf', 'entropias']",0.68,0.12297579792381913,0.68,0.127165614423576,0.68,0.12297579792381913,0.66,0.14670517773395556,0.35,0.25662688340101664
15,"['max_info', 'entropias']",0.68,0.122364401992573,0.68,0.1286228180080782,0.68,0.122364401992573,0.66,0.1454153501894911,0.35,0.2574635272347549
16,"['diferencias', 'entropias']",0.68,0.12224942484527278,0.68,0.12674132351003273,0.68,0.12224942484527278,0.66,0.1433070621617692,0.35,0.2564513200468088
