,feature,accuracy,std_accuracy,precision_w,std_precision_w,recall_w,std_recall_w,f1_w,std_f1_w,matthews,std_matthews
0,['list_m'],0.79,0.02740898387571545,0.79,0.029686690920215704,0.79,0.02740898387571545,0.79,0.02824589875055763,0.48,0.05788932907622192
1,['mutinf'],0.8,0.027385740831521555,0.8,0.029201300987357785,0.8,0.027385740831521555,0.79,0.02795188928022258,0.49,0.06324675454758283
2,['max_info'],0.79,0.026585015514046913,0.79,0.028796298264108795,0.79,0.026585015514046913,0.79,0.027415652778517083,0.48,0.05605375861202604
3,['diferencias'],0.79,0.02716246035828387,0.79,0.029343025359517678,0.79,0.02716246035828387,0.79,0.027936957403497147,0.48,0.059069643140421846
4,['entropias'],0.79,0.026794017628861192,0.79,0.02908922062785676,0.79,0.026794017628861192,0.79,0.02766862149652448,0.48,0.05794162472491391
5,['distancias'],0.79,0.027234981345593913,0.79,0.029473727978378383,0.79,0.027234981345593913,0.79,0.028034970406831845,0.48,0.058097800509242195
6,['sumas'],0.8,0.02713233927047253,0.79,0.02924915166731119,0.8,0.02713233927047253,0.79,0.028033768081999685,0.49,0.05885257261812322
7,['mearts'],0.79,0.0270016569549046,0.79,0.029264138722280196,0.79,0.0270016569549046,0.79,0.027851639119446107,0.48,0.05919152481274311
8,"['list_m', 'mutinf']",0.8,0.028024674529205137,0.8,0.029553214884568486,0.8,0.028024674529205137,0.8,0.02847406280656234,0.49,0.06310915405539237
9,"['list_m', 'max_info']",0.79,0.02654383604645691,0.79,0.02880813718337098,0.79,0.02654383604645691,0.79,0.027417957714391337,0.48,0.05556624793140349
10,"['mutinf', 'max_info']",0.8,0.026891929665841786,0.8,0.02834561847732794,0.8,0.026891929665841786,0.8,0.02739209672584892,0.49,0.05953225842841176
11,"['list_m', 'diferencias']",0.79,0.027234981345593913,0.79,0.029473727978378383,0.79,0.027234981345593913,0.79,0.028034970406831845,0.48,0.058097800509242195
12,"['mutinf', 'diferencias']",0.8,0.026865454327247944,0.8,0.02866773940448056,0.8,0.026865454327247944,0.8,0.0274782477017048,0.49,0.0611818709033321
13,"['max_info', 'diferencias']",0.79,0.027256306764022683,0.79,0.029702153556247057,0.79,0.027256306764022683,0.79,0.02819888134174489,0.48,0.056454538518039596
14,"['list_m', 'entropias']",0.79,0.02701280016637118,0.79,0.02923268455355793,0.79,0.02701280016637118,0.79,0.02782276734837244,0.48,0.058043505358037616
